Number,Artist,Streams,Feats,Tracks,Billion,Million
451,Bon Iver,"2,928,247,210",0,50,0,7
452,RAF Camora,"2,926,653,996","952,817,602",369,0,5
453,Lunay,"2,925,162,457","313,902,252",59,0,9
454,Maria Becerra,"2,921,291,638","1,360,259,448",43,0,6
455,Carly Rae Jepsen,"2,921,086,654",0,141,0,5
456,Why Don't We,"2,917,638,636","378,905",99,0,8
457,Vicente Fernández,"2,910,574,978","2,478,742,591",865,0,4
458,A$AP Ferg,"2,903,470,782",0,96,0,6
459,Juan Gabriel,"2,901,846,633","137,641,031",482,0,5
460,JP Cooper,"2,895,291,874","939,497,796",144,0,4
461,PNL,"2,889,660,746","4,423,329",72,0,5
462,The Cure,"2,882,831,026","1,343,266",545,0,6
463,Mabel,"2,874,150,906","463,313,203",145,0,7
464,Birdy,"2,864,553,572","14,222,939",111,0,8
465,Papa Roach,"2,861,296,786","3,118,921,754",236,0,4
466,MARINA,"2,860,314,714","62,804,762",121,0,7
467,Jesse & Joy,"2,856,285,668",0,124,0,11
468,T.I.,"2,848,098,002","47,313,864",440,0,6
469,SAINt JHN,"2,841,651,735","5,081,836,495",55,1,3
470,Bradley Cooper,"2,832,555,130",0,12,1,4
471,Bonez MC,"2,815,182,209","184,240,949",166,0,5
472,Noah Cyrus,"2,813,340,209","3,924,285,642",74,0,6
473,C. Tangana,"2,808,496,289","98,804,484",81,0,9
474,MEDUZA,"2,806,488,850","102,139,066",55,0,5
475,Ludovico Einaudi,"2,791,367,383","25,567,335",565,0,5
476,Depeche Mode,"2,784,128,682",0,709,0,3
477,Destiny's Child,"2,775,187,867","85,729,842",183,0,8
478,Kenny Chesney,"2,772,827,226","2,245,144,528",277,0,3
479,Paul McCartney,"2,767,237,931","3,009,354,038",918,0,5
480,Eric Church,"2,759,312,007","29,797,048",286,0,4
481,Dave,"2,749,490,108","2,028,969,469",62,0,8
482,Eric Clapton,"2,747,310,452","739,286,985",698,0,6
483,KHEA,"2,743,045,197","517,135,427",81,0,9
484,EXO,"2,725,969,831","1,295,854,047",309,0,6
485,Simon & Garfunkel,"2,718,178,664","498,204,068",172,0,5
486,TINI,"2,717,301,467","503,968,381",71,0,8
487,Norah Jones,"2,714,788,741","673,800,705",297,0,4
488,Iggy Azalea,"2,703,950,724","1,884,183,028",108,0,6
489,George Michael,"2,703,100,036","6,192,858,304",185,0,4
490,Jay Wheeler,"2,701,443,856","4,265,483",146,0,3
491,De La Ghetto,"2,695,370,320","302,858,918",158,0,7
492,Nacho,"2,692,139,444","540,870,550",151,0,8
493,bbno$,"2,691,389,490","2,141,323,366",149,0,3
494,The Beach Boys,"2,687,373,992","5,360,562,962","1,528",0,7
495,The Game,"2,686,873,055",0,770,0,6
496,Bibi und Tina,"2,680,606,898",0,"3,509",0,0
497,Ufo361,"2,676,667,284","231,077,825",236,0,0
498,R.E.M.,"2,665,630,567","352,247,735",590,0,5
499,Aminé,"2,661,288,241","301,358,086",72,0,4
500,Normani,"2,658,470,073","1,097,279,258",17,1,4
501,AJR,"2,649,403,045","163,740,766",86,0,5
502,Christina Perri,"2,646,573,107","63,757,921",103,1,3
503,X Ambassadors,"2,621,685,116","247,574,441",119,0,4
504,Breaking Benjamin,"2,619,625,553","43,371,022",102,0,6
505,Artist,Lead Streams,Feats,Tracks,1b,100m
506,"Earth, Wind & Fire","2,606,939,541","93,944,725",385,1,5
507,Hillsong UNITED,"2,599,812,772","141,413,805",366,0,2
508,Rod Wave,"2,598,143,018","72,180,826",136,0,3
509,Nick Jonas,"2,588,951,174","56,096,500",95,0,8
510,Rich The Kid,"2,587,583,439","1,860,430,328",166,0,4
511,Jimi Hendrix,"2,585,036,209","1,041,574",506,0,5
512,The Smiths,"2,582,782,853",0,143,0,6
513,Dermot Kennedy,"2,581,422,010",0,78,0,5
514,SEVENTEEN,"2,580,817,471",0,150,0,1
515,Milky Chance,"2,580,709,652","8,400,414",88,1,4
516,Volbeat,"2,579,498,906",0,205,0,5
517,TOTO,"2,575,874,146","3,027,807",391,1,4
518,Dimitri Vegas & Like Mike,"2,572,306,129","102,871,980",267,0,4
519,Sabrina Carpenter,"2,569,519,803","148,923,932",99,0,6
520,Robbie Williams,"2,557,179,105","22,418,993",429,0,6
521,Matoma,"2,555,408,299","300,374,829",126,0,5
522,Years & Years,"2,550,829,792","90,524,082",112,0,7
523,Mitski,"2,547,259,202","23,137,320",73,0,6
524,Jon Bellion,"2,543,285,648","344,351,614",84,0,5
525,The xx,"2,542,777,584","10,468,775",77,0,5
526,Van Morrison,"2,542,234,398","95,529,950",864,0,4
527,Nelly Furtado,"2,534,235,066","287,364,576",211,0,6
528,Luciano,"2,526,245,631","440,387,420",157,0,0
529,B.o.B,"2,525,038,408","1,274,578,007",431,0,7
530,T-Pain,"2,522,886,931","3,095,732,093",215,0,8
531,Lynyrd Skynyrd,"2,519,169,676","599,968",362,0,4
532,Stormzy,"2,500,482,085","997,592,500",69,0,7
533,Sfera Ebbasta,"2,496,062,465","1,276,058,719",89,0,1
534,Rick Ross,"2,491,175,711","4,970,243,020",340,0,4
535,Cali Y El Dandee,"2,490,592,473","214,013,480",74,0,9
536,Kid Ink,"2,489,130,300","2,816,280,604",198,0,8
537,Shinedown,"2,479,535,960","13,718,335",197,0,6
538,Natanael Cano,"2,475,463,509","225,114,570",135,0,6
539,Van Halen,"2,466,995,848","24,281",207,0,6
540,Limp Bizkit,"2,466,419,030","3,218,081",134,0,6
541,The Fray,"2,463,436,621","4,486,342",98,0,5
542,Samra,"2,461,380,410","403,500,820",120,0,3
543,The Cranberries,"2,460,868,337","2,725,658",264,0,4
544,Black Sabbath,"2,459,611,513","13,968,959",286,0,4
545,All Time Low,"2,459,397,211","1,585,127",212,0,2
546,DNCE,"2,458,758,461","54,841,242",36,1,4
547,El Fantasma,"2,457,887,099","65,281,602",210,0,6
548,Damso,"2,448,621,601","761,548,765",95,0,1
549,Andy Grammer,"2,431,629,519","4,962,513",79,0,5
550,Rage Against The Machine,"2,430,839,934",0,119,0,7
551,Luan Santana,"2,430,000,476","247,964,502",214,0,4
552,Aitana,"2,428,820,555","19,883,705",74,0,7
553,Juan Magán,"2,428,032,283","871,230,826",208,0,5
554,KYLE,"2,420,485,330","166,464,714",112,0,5
555,Keith Urban,"2,416,463,388","380,461,137",205,0,6
556,Joel Corry,"2,415,759,211","63,258,648",153,0,5
557,Daryl Hall & John Oates,"2,405,798,697","33,973",555,0,6
558,Sabaton,"2,399,679,054",0,313,0,2
559,MGMT,"2,396,610,713","1,038,472,738",86,0,5
560,Kodaline,"2,386,258,538","283,421,137",125,0,4
561,Aya Nakamura,"2,386,108,307","151,618,177",68,0,5
562,Plan B,"2,383,828,013","578,240,022",95,0,7
563,Rag'n'Bone Man,"2,382,013,837","79,032,903",138,0,3
564,Shaggy,"2,381,998,464","477,705,428",433,0,5
565,Of Monsters and Men,"2,380,280,721","3,318,019",63,0,5
566,Rod Stewart,"2,379,541,913","502,097,842",731,0,4
567,The White Stripes,"2,377,686,382",0,172,1,3
568,Hollywood Undead,"2,373,538,882","21,078,180",143,0,3
569,Mac DeMarco,"2,366,844,862","75,712,651",150,0,4
570,Gerardo Ortiz,"2,362,366,616","564,161,466",257,0,3
571,A Day To Remember,"2,357,711,163",0,135,0,4
572,Quinn XCII,"2,350,578,227","155,201,156",85,0,5
573,Ice Cube,"2,344,900,860","287,402,247",292,0,5
574,Clairo,"2,340,931,623","751,281,514",25,0,7
575,Swedish House Mafia,"2,340,727,040","12,820,948",58,0,6
576,League of Legends,"2,340,011,159","1,934,825,362",495,0,6
577,Eladio Carrion,"2,339,040,331","404,020,084",147,0,4
578,Lofi Fruits Music,"2,329,999,921","106,066,268","1,010",0,0
579,Prince,"2,327,965,052","3,281,243",835,0,5
580,Os Barões Da Pisadinha,"2,325,967,532","571,967,470",160,0,6
581,Brytiago,"2,325,768,055","2,046,857,334",85,0,5
582,Casper Magico,"2,324,673,947","194,400,208",95,0,5
583,José José,"2,323,517,374","149,057,243",525,0,2
584,Evanescence,"2,320,082,358",0,110,0,4
585,Sublime,"2,317,831,260",0,219,0,5
586,Die drei !!!,"2,317,017,983",0,"3,275",0,0
587,Tom Odell,"2,313,290,532","43,963,745",131,1,3
588,GIMS,"2,311,019,564","294,623,436",179,0,4
589,Chencho Corleone,"2,307,620,270","1,850,768,207",21,0,6
590,Cigarettes After Sex,"2,297,049,191",0,30,0,6
591,Bryant Myers,"2,296,987,693","2,211,793,211",102,0,5
592,Axwell /\ Ingrosso,"2,295,622,491",0,47,1,5
593,Red Velvet,"2,293,993,571","14,995,635",131,0,5
594,George Strait,"2,293,305,564","36,161,867",444,0,2
595,Carlos Rivera,"2,291,158,958","507,636,763",210,0,5
596,Carrie Underwood,"2,287,677,862","390,796,945",170,0,3
597,Enya,"2,281,284,138","342,937,830",145,0,4
598,Pedro Capó,"2,277,124,460","181,475,492",71,1,5
599,girl in red,"2,264,464,619","6,043,639",29,0,6
600,Aretha Franklin,"2,259,373,196","8,960,966",900,0,4
601,Ozzy Osbourne,"2,258,551,820","66,842,960",231,0,3
602,Scorpions,"2,257,465,297",0,345,0,5
603,Nas,"2,255,035,088","890,352,457",339,0,4
604,ODESZA,"2,251,141,203","128,174,755",170,0,4
605,Joyner Lucas,"2,250,754,960","146,002,559",87,0,6
606,Artist,Lead Streams,Feats,Tracks,1b,100m
607,Ali Gatie,"2,236,769,112","2,270,763",54,0,4
608,Mustard,"2,234,505,311","1,986,562,902",74,0,4
609,PnB Rock,"2,228,993,718","1,859,997,166",116,0,5
610,Zoé,"2,227,159,139","12,125,790",193,0,6
611,Goodboys,"2,225,051,739","5,153,122",44,0,4
612,KISS,"2,222,550,482",0,510,0,4
613,WALK THE MOON,"2,213,255,179","103,849,073",98,1,3
614,Danna Paola,"2,212,142,768","72,725,046",103,0,6
615,Don Diablo,"2,200,628,570","105,584,811",248,0,1
616,Jorja Smith,"2,195,160,357","465,601,602",81,0,4
617,Los Tigres Del Norte,"2,195,087,945","182,374,635",639,0,1
618,Gryffin,"2,193,509,712","482,869,625",146,0,6
619,RAYE,"2,192,939,509","575,319,981",95,0,4
620,Junior H,"2,190,309,741","300,889,299",104,0,5
621,The Smashing Pumpkins,"2,172,954,938",0,418,0,6
622,Sum 41,"2,172,099,956","7,414,337",128,0,5
623,Alan Jackson,"2,168,305,190","90,085,724",269,0,2
624,Marco Antonio Solís,"2,167,056,600","686,549,494",201,0,5
625,WILLOW,"2,162,026,224","405,412,770",76,0,3
626,Ella Mai,"2,161,392,693","334,957,558",52,0,6
627,Marilyn Manson,"2,156,699,936","56,980,790",227,0,4
628,Joey Bada$$,"2,149,110,284","767,949,252",119,0,4
629,Lord Huron,"2,147,142,104",0,76,1,3
630,Sleeping At Last,"2,146,420,809","727,285",298,0,5
631,Astrid S,"2,145,022,194","131,055,141",107,0,5
632,TKKG,"2,141,387,313",0,"4,398",0,0
633,Sido,"2,141,006,547","522,502,437",368,0,2
634,TOMORROW X TOGETHER,"2,136,382,863",0,69,0,6
635,Colbie Caillat,"2,133,775,510","126,624,751",105,0,4
636,Banda El Recodo,"2,127,016,589","2,232,807",601,0,3
637,Rascal Flatts,"2,124,400,562","53,441,983",248,0,5
638,Dolly Parton,"2,122,503,850","173,626,251",978,0,4
639,3 Doors Down,"2,122,358,023","631,510",144,0,3
640,Wale,"2,117,359,552","1,520,275,780",353,0,4
641,Moneybagg Yo,"2,117,349,736","1,313,168,750",266,0,1
642,Electric Light Orchestra,"2,112,872,480","696,381",305,0,4
643,Two Door Cinema Club,"2,112,307,879","1,980,119",142,0,4
644,Hardwell,"2,109,914,592","360,947,672",462,0,1
645,Brent Faiyaz,"2,107,146,096","905,946,624",63,0,7
646,Chase Atlantic,"2,105,375,619","11,762,990",75,0,4
647,Kontra K,"2,103,318,066","219,924,638",301,0,1
648,iann dior,"2,102,922,842","2,291,368,890",55,0,5
649,Powfu,"2,092,377,791","186,520,817",73,1,1
650,Bethel Music,"2,092,086,801",0,312,0,0
651,JID,"2,089,652,973","797,904,614",70,0,4
652,Louis Tomlinson,"2,086,972,274",0,43,0,4
653,The Clash,"2,085,949,767",0,223,0,3
654,Noriel,"2,083,887,397","1,469,283,474",94,0,4
655,gnash,"2,083,638,974","303,083,754",84,1,2
656,MC Kevinho,"2,082,054,602","296,844,156",74,0,5
657,David Bisbal,"2,078,820,031","432,972,620",248,0,4
658,Pharrell Williams,"2,077,074,226","6,537,561,403",110,1,3
659,Gera MX,"2,071,389,389","527,168,213",184,0,1
660,Kacey Musgraves,"2,070,185,118","150,866,265",126,0,5
661,Luísa Sonza,"2,068,349,876","9,401,615",66,0,5
662,Leon Bridges,"2,064,776,224","809,960,704",78,0,5
663,Chief Keef,"2,064,287,110","625,082,456",575,0,5
664,Martin Jensen,"2,063,060,185","304,861,454",79,0,4
665,Stromae,"2,062,404,120","60,545,155",57,0,4
666,Annie Lennox,"2,062,340,171","9,754,428",306,0,3
667,Ruth B.,"2,057,984,888",0,48,0,5
668,NEFFEX,"2,056,583,318","824,121",213,0,3
669,Duran Duran,"2,052,957,469",0,483,0,5
670,Jaden,"2,050,432,169","1,460,830,445",110,0,2
671,Bing Crosby,"2,043,924,592","8,462,632","1,345",0,7
672,Seeb,"2,043,477,578","1,673,715,968",112,0,5
673,Ms. Lauryn Hill,"2,040,646,969","353,528,858",89,0,5
674,Arizona Zervas,"2,039,690,926","35,697,483",37,1,2
675,Santa Fe Klan,"2,039,138,179","541,493,142",217,0,5
676,Miracle Tones,"2,031,004,961",0,126,0,0
677,Regard,"2,029,133,220",0,42,1,4
678,Westlife,"2,026,058,221","39,635",231,0,3
679,The Kooks,"2,024,254,904",0,249,0,5
680,Mike WiLL Made-It,"2,021,477,415","345,422,787",144,0,6
681,Elevation Worship,"2,019,584,095","22,054,975",255,0,2
682,Internet Money,"2,018,584,676","372,681,646",43,1,5
683,M83,"2,015,140,978","16,290,793",237,0,3
684,Portugal. The Man,"2,003,183,409","50,754,902",195,1,1
685,R. Kelly,"2,002,013,664","409,379,157",363,0,2
686,Saweetie,"2,000,089,741","595,752,335",73,0,4
687,Dilsinho,"1,996,437,258","411,783,927",195,0,5
688,Charlie Brown Jr.,"1,995,556,424","39,048,849",278,0,4
689,Ha*Ash,"1,989,802,115","490,646,007",131,0,4
690,Gwen Stefani,"1,988,899,782","1,073,941,569",99,0,4
691,Mötley Crüe,"1,986,516,487",0,238,0,5
692,Jessie Reyez,"1,982,350,944","512,534,113",73,0,4
693,Owl City,"1,980,070,565","93,709,322",111,0,2
694,Apache 207,"1,977,481,576","126,206,018",46,0,5
695,Nekfeu,"1,977,245,131","518,867,756",98,0,0
696,Queens of the Stone Age,"1,973,861,331",0,140,0,5
697,Cosculluela,"1,973,500,286","1,068,089,499",159,0,5
698,Keane,"1,971,059,662","607,099",197,0,2
699,Tee Grizzley,"1,970,417,387","196,499,343",145,0,3
700,Ezhel,"1,969,446,772","194,725,091",64,0,3
701,Gigi D'Agostino,"1,961,013,546","1,153,536",423,1,3
702,DMX,"1,959,946,681","264,430,121",304,0,4
703,Bruno & Marrone,"1,959,875,993","230,637,427",428,0,2
704,Yung Gravy,"1,959,097,379","10,002,713",78,0,6
705,Desiigner,"1,955,514,520","548,795,846",55,1,2
706,Timmy Trumpet,"1,954,597,157","104,577,459",183,0,3
707,Artist,Lead Streams,Feats,Tracks,1b,100m
708,Thirty Seconds To Mars,"1,954,498,523","47,931,016",84,0,4
709,Denzel Curry,"1,952,649,461","528,744,853",137,0,4
710,Jay Chou,"1,951,129,090","28,029,086",327,0,0
711,Chelsea Cutler,"1,950,899,986","452,181,568",95,0,4
712,Alex Rose,"1,949,166,634","537,789,626",82,0,4
713,Olly Murs,"1,946,478,736","47,818,752",179,0,4
714,Vampire Weekend,"1,945,573,015",0,74,0,2
715,Miranda Lambert,"1,938,843,377","212,318,887",208,0,5
716,Santana,"1,933,599,979","276,396,587",714,0,4
717,The Goo Goo Dolls,"1,933,399,868","315,062",279,1,3
718,Aloe Blacc,"1,930,856,165","251,730,315",217,0,4
719,Wham!,"1,930,785,286","861,833",36,0,2
720,Willy William,"1,930,491,419","355,230,752",82,1,3
721,MAX,"1,929,553,352","143,407,145",144,0,5
722,Dierks Bentley,"1,923,717,525","173,377,106",153,0,6
723,The Who,"1,923,165,495",0,881,0,6
724,Granular,"1,919,564,121",0,574,0,2
725,Stefflon Don,"1,914,806,534","345,633,899",86,0,6
726,La Oreja de Van Gogh,"1,912,311,819","66,113,877",183,0,3
727,OMI,"1,908,116,986","131,136,335",45,1,2
728,Alice In Chains,"1,902,125,921","171,453",162,0,5
729,Giveon,"1,901,077,447","589,310,224",32,0,4
730,John Lennon,"1,900,843,192","5,769,602",498,0,3
731,Los Temerarios,"1,899,241,961","183,284",322,0,0
732,Loud Luxury,"1,898,927,877","89,734,246",135,0,4
733,Ghostemane,"1,897,237,706","68,873,586",140,0,3
734,Snow Patrol,"1,897,170,969",0,191,0,3
735,beabadoobee,"1,893,281,518","12,412,498",76,1,2
736,Lee Brice,"1,893,216,404","14,898,633",97,0,6
737,Trevor Daniel,"1,893,164,011","207,826,260",50,1,2
738,James TW,"1,892,634,482","8,164,452",44,0,5
739,Louis Armstrong,"1,888,813,523","16,402,469","2,311",0,4
740,Beret,"1,887,419,481","54,947,411",50,0,3
741,Shania Twain,"1,885,781,696","182,041,753",187,0,4
742,Calle 13,"1,883,809,656","131,655,648",81,0,5
743,Booba,"1,880,281,066","678,185,823",247,0,0
744,Niska,"1,879,295,266","617,175,106",105,0,1
745,Ciara,"1,875,900,807","505,417,778",158,0,5
746,Incubus,"1,872,492,242","2,113,242",229,0,3
747,MØ,"1,867,886,470","3,388,886,631",124,0,4
748,Mon Laferte,"1,867,546,187","328,196,750",143,0,4
749,Conor Maynard,"1,867,293,612","371,487,728",137,0,3
750,Ella Fitzgerald,"1,865,209,139","12,514,602","2,120",0,2
751,Sting,"1,864,917,481","294,461,183",495,0,3
752,Vintage Culture,"1,863,460,359","35,304,995",205,0,2
753,Kevin Roldan,"1,860,423,142","479,771,429",147,0,2
754,Blueface,"1,856,041,642","617,180,661",98,0,4
755,Nat King Cole,"1,853,717,658","8,675,904","1,129",0,3
756,Yo Gotti,"1,852,943,310","1,311,194,792",494,0,2
757,Lady A,"1,850,637,526","138,695,513",229,0,5
758,Two Feet,"1,850,083,119","43,492,840",67,0,3
759,Thalia,"1,849,494,711","356,801,594",320,0,2
760,Taio Cruz,"1,849,088,545","27,054,116",94,0,4
761,Old Dominion,"1,846,826,397","5,326,630",85,0,7
762,Dean Martin,"1,839,950,779","11,973,306",696,0,5
763,Oliver Tree,"1,839,830,515","47,958,499",63,0,4
764,John Newman,"1,839,265,446","386,221,358",95,0,4
765,CRO,"1,837,987,132","186,326,829",163,0,2
766,PNAU,"1,837,143,273","4,795,294",113,1,3
767,ANAVITÓRIA,"1,836,487,394","247,466,567",79,0,3
768,Sara Bareilles,"1,829,209,796","82,546,640",194,0,5
769,Michael Silverman,"1,827,043,186","213,673",972,0,0
770,Burna Boy,"1,821,371,663","1,671,152,465",174,0,4
771,Surfaces,"1,819,802,511",0,70,0,1
772,Chayanne,"1,817,989,260","144,005,891",236,0,5
773,a-ha,"1,815,725,128","16,092",401,1,1
774,The Jackson 5,"1,814,148,449","2,468,100",347,0,5
775,Fergie,"1,813,098,972","206,140,442",82,0,5
776,The Pussycat Dolls,"1,813,039,711","26,129,902",56,0,5
777,Roxette,"1,810,253,500","306,912",465,0,4
778,Leona Lewis,"1,806,698,865","58,137,114",116,0,5
779,Matuê,"1,805,676,631","243,428,148",33,0,6
780,Natalia Lafourcade,"1,805,496,403","936,009,979",183,0,4
781,Mora,"1,805,158,864","348,503,971",76,0,2
782,Dynoro,"1,804,491,187","378,295",18,1,4
783,Los Tucanes De Tijuana,"1,804,035,346","5,231,518",737,0,1
784,AJ Tracey,"1,802,672,139","215,084,250",98,0,6
785,LUDMILLA,"1,799,762,330","466,090,779",178,0,2
786,Sean Kingston,"1,798,965,211","150,341,106",142,0,5
787,Guaynaa,"1,797,383,497","132,443,509",64,0,5
788,Steve Lacy,"1,794,556,932","632,508,531",46,0,4
789,Jon Pardi,"1,793,562,040","161,230,228",78,0,5
790,fun.,"1,792,718,438","203,986",26,0,3
791,Ben Howard,"1,790,617,769","1,125,328",60,0,4
792,Tears For Fears,"1,785,149,316","2,601,887",219,0,4
793,Mike Perry,"1,784,903,805","26,675,234",54,0,3
794,Lalo Ebratt,"1,773,683,414","84,141,405",60,0,7
795,Oliver Heldens,"1,773,243,390","253,517,935",145,0,3
796,Martin Solveig,"1,772,167,780","8,507,378",246,0,5
797,Nicki Nicole,"1,771,051,853","466,761,461",49,0,3
798,Darell,"1,768,464,822","4,780,307,242",133,0,4
799,CHVRCHES,"1,766,235,284","5,546,013",118,0,2
800,Julieta Venegas,"1,760,785,705","701,911,855",152,0,6
801,Kylie Minogue,"1,760,059,922","122,606,148",906,0,2
802,Gente De Zona,"1,756,631,831","1,403,404,663",126,0,3
803,Deftones,"1,750,174,564","189,667",139,0,2
804,Melendi,"1,749,960,220","190,148,048",184,0,2
805,Seether,"1,748,931,621",0,156,0,3
806,Baby Keem,"1,748,313,318","64,281,837",51,0,3
807,DJ Luian,"1,747,734,090","2,738,823,311",52,0,4
808,Artist,Lead Streams,Feats,Tracks,1b,100m
809,MKTO,"1,746,963,141","14,429,939",29,0,2
810,Mambo Kingz,"1,745,059,565","2,499,618,695",37,0,5
811,Lionel Richie,"1,743,379,490","53,528,648",297,0,6
812,IU,"1,743,026,779","105,019,595",165,0,4
813,Lil Dicky,"1,741,821,934","127,683,917",23,0,5
814,Intocable,"1,741,554,669","20,985,489",317,0,2
815,Sin Bandera,"1,738,742,132","124,804,809",124,0,6
816,Daya,"1,735,378,090","2,131,830,037",45,0,4
817,Chris Young,"1,733,928,126","108,950,594",112,0,4
818,Tech N9ne,"1,733,262,095","664,567,305",451,0,2
819,Arcade Fire,"1,731,328,594",0,113,0,3
820,Rich Brian,"1,727,170,764","624,625,192",57,0,4
821,Mother Mother,"1,726,527,097","83,041",142,0,5
822,Yusuf / Cat Stevens,"1,726,512,987","19,118,011",332,0,5
823,Kina,"1,723,333,633","4,106,807",39,0,3
824,MAGIC!,"1,721,727,530","146,286,450",53,1,2
825,Greeicy,"1,720,259,336","50,335,675",60,0,5
826,Simple Plan,"1,719,642,286","2,131,621",128,0,4
827,Sofía Reyes,"1,719,104,610","226,357,631",61,0,3
828,Dido,"1,718,183,561","5,698,325",195,0,4
829,Paul Simon,"1,715,931,271","75,838,481",370,0,3
830,Dennis Lloyd,"1,715,531,867",0,48,0,3
831,Alfredo Olivas,"1,713,355,709","67,166,813",103,0,3
832,Wolfgang Amadeus Mozart,"1,712,607,320","5,275,689","11,475",0,0
833,Tiago PZK,"1,709,750,883","332,932,512",58,0,4
834,Pineapple StormTv,"1,707,906,194","154,195,292",215,0,3
835,DENNIS,"1,705,396,553","126,587,183",298,0,4
836,YUNGBLUD,"1,703,601,205","463,620,252",92,0,2
837,Summer Cem,"1,702,570,591","341,863,678",200,0,2
838,Sade,"1,701,116,678","1,452,396",113,0,4
839,Eslabon Armado,"1,699,114,472","13,724,576",90,0,2
840,Juan Luis Guerra 4.40,"1,695,901,682","810,878,616",208,0,2
841,La Adictiva Banda San José de Mesillas,"1,695,830,013","44,189,841",128,0,4
842,KSI,"1,695,358,834","27,838,370",116,0,4
843,Bullet For My Valentine,"1,694,804,867","31,403",177,0,2
844,Selena,"1,693,151,147","2,894,906",149,0,6
845,Jack Ü,"1,685,398,303","956,750",37,0,4
846,Nina Simone,"1,682,102,220","25,050,969",551,0,3
847,Kollegah,"1,676,987,056","109,522,515",569,0,0
848,Bea Miller,"1,675,218,584","1,164,003,726",42,0,4
849,Nipsey Hussle,"1,669,099,192","270,570,506",277,0,3
850,Cyndi Lauper,"1,668,152,364","7,113,334",219,0,3
851,Juicy J,"1,666,667,173","3,759,718,067",450,0,2
852,Max Richter,"1,666,056,201","43,626",992,0,0
853,Los Bukis,"1,665,301,634","7,360,162",252,0,1
854,Otis Redding,"1,664,195,345","150,323,645",337,0,3
855,Dominic Fike,"1,660,702,806","138,302,706",30,0,3
856,Kungs,"1,657,734,274","29,885,479",65,0,3
857,*NSYNC,"1,656,401,553","25,912,106",89,0,5
858,Jasmine Thompson,"1,651,309,359","959,672,838",116,0,3
859,Willie Nelson,"1,649,521,446","312,985,189","1,571",0,4
860,Tina Turner,"1,649,451,408","24,463,747",253,0,6
861,Yellow Claw,"1,646,156,795","88,256,933",263,0,2
862,Lily Allen,"1,643,394,520","348,477,457",115,0,4
863,will.i.am,"1,641,904,383","2,159,351,268",103,0,5
864,Sasha Alex Sloan,"1,637,138,656","356,062,491",55,0,3
865,Silk Sonic,"1,635,262,002",0,11,0,3
866,NCT 127,"1,633,145,081","47,037,951",138,0,2
867,deadmau5,"1,633,102,099","85,895,158",456,0,1
868,Benjamin Blümchen,"1,632,183,811",0,"6,109",0,0
869,Beastie Boys,"1,631,483,593","686,794",307,0,4
870,Ferrugem,"1,630,991,997","316,721,915",171,0,1
871,Trueno,"1,625,212,488","89,783,830",55,0,5
872,Tom Walker,"1,621,938,619","104,229,160",95,0,4
873,Angus & Julia Stone,"1,621,262,836","62,072,067",128,0,3
874,AURORA,"1,620,462,028","392,531,879",105,0,3
875,Wallows,"1,617,420,796",0,50,0,5
876,Bill Withers,"1,616,684,397","423,140,273",120,0,4
877,Camila,"1,614,888,793","118,840,374",100,0,4
878,The National,"1,612,789,597","101,050,937",209,0,1
879,ZZ Top,"1,609,888,997","84,795",279,0,4
880,KALEO,"1,609,214,165",0,29,0,3
881,Tracy Chapman,"1,603,955,839","86,329,695",102,0,4
882,Mary J. Blige,"1,603,823,302","2,072,649,813",395,0,2
883,Jowell & Randy,"1,598,782,161","882,987,056",173,0,3
884,Brad Paisley,"1,594,358,812","80,512,829",233,0,2
885,The Score,"1,590,492,855","2,029,439",66,0,5
886,Los Enanitos Verdes,"1,589,791,667","8,973,461",190,0,4
887,Gavin James,"1,589,066,720","67,835,427",119,0,3
888,Lenny Kravitz,"1,586,945,030","58,520,527",269,0,4
889,Tungevaag,"1,584,806,652","5,391,617",82,0,5
890,Frédéric Chopin,"1,580,987,576","1,163,362","9,790",0,0
891,Ramin Djawadi,"1,576,132,499","494,471","1,024",0,1
892,Tyler Childers,"1,575,879,683","31,875,984",62,0,5
893,Brett Young,"1,574,718,551","18,238,191",70,0,4
894,BØRNS,"1,573,109,788","17,790,746",44,0,3
895,Dadju,"1,570,782,544","449,080,594",112,0,1
896,Audioslave,"1,568,164,155",0,72,0,5
897,Olivia O'Brien,"1,567,268,080","1,463,363,938",55,0,3
898,Sleepy Hallow,"1,566,837,791","291,033,854",64,0,2
899,Banda Los Recoditos,"1,564,662,688","19,005,086",252,0,2
900,Kiiara,"1,561,088,103","289,081,952",73,0,3
901,Mr. Probz,"1,559,887,114","237,955,809",36,0,4
902,Sufjan Stevens,"1,559,839,764","48,019,760",439,0,3
903,Alvaro Soler,"1,558,833,906","46,416,870",101,0,4
904,Pink Sweat$,"1,558,351,053","58,475,674",57,0,3
905,King Von,"1,557,609,173","158,906,906",78,0,3
906,Diego & Victor Hugo,"1,557,334,571","23,088,565",139,0,6
907,Joaquín Sabina,"1,554,442,660","130,526,953",348,0,0
908,Ella Henderson,"1,553,412,941","369,125,542",115,0,3
909,Artist,Lead Streams,Feats,Tracks,1b,100m
910,Blur,"1,551,692,610","20,342",356,0,2
911,Ofenbach,"1,550,940,003","104,912,624",83,0,4
912,Lykke Li,"1,549,963,169","100,408,098",105,0,4
913,Cher,"1,549,863,381","14,500,960",399,0,3
914,Lil Kleine,"1,549,145,488","347,865,948",120,0,0
